key_tempo;invoice_date;Ano;Mes;Dia;Trimestre
ca19f56aa9b5ddf2130d5b40d1bbde4c93d9de23b1a8f80c6271c83b0113041d;2018-09-26;2018;9;26;3
bd512cc31b4bb923eea8522a1ec76c417f00a99ba7dbee9bb5d2c10ea7a86957;2018-03-10;2018;3;10;1
a742b207ac67e4e0c8cbca64e2f1b9c5312f21cb2b828eb11092ca40fe6481f8;2017-02-04;2017;2;4;1
4fce0ce9ea98e347cc06b9e42f5033c82e1a032474372fb3203e814b0320cc48;2017-07-14;2017;7;14;3
c41e4e9b6bd5fba1ebb9e84038a56af04e66f371f20734b34d09a0b3ded07370;2017-11-05;2017;11;5;4
01b30e35e8e32f4ef9b06048a68549d8f70762c0279150bb760eafa843e7c44b;2018-11-21;2018;11;21;4
c08dd6b01a694f9bbbbeadd4cebdb5237527c233cc3ae3ed87d6903419aabdf6;2018-01-24;2018;1;24;1
01664202c3c6bd07718311654ec2e1874ad683e8ab021b5c9c47604521ea0432;2017-05-12;2017;5;12;2
e462b9cb0d5475b2625cd435c452249907b18b7e8e739e4db11275c95c753219;2018-07-21;2018;7;21;3
e5303a8c586756c0f634aae5232fb3a4e14130d520ab7179e5d13a4debaa7f62;2019-01-07;2019;1;7;1
65560f9e1826bbbb8317da0ded237aefac46a513d97439e8f06965bae9ee1f06;2017-04-30;2017;4;30;2
8b8b7011aa23563a132e5f5e62b83f41d6a3c797b82cd729fcdda4ba46f301e4;2017-08-11;2017;8;11;3
5385661bb68ffec71a28947c809121b9aa4f7b7e36cdf0c3220289d7cc3b74a4;2017-03-16;2017;3;16;1
ac23af039a56b5af1c65b432ea99a276ad87d86ade0370cc8032b33e47e7b17f;2017-05-24;2017;5;24;2
9d577f15893ebd772d0801bbd7f6a81b62e12c11b8b058bd5a13be29cfa00cb9;2018-01-09;2018;1;9;1
107cc78c9377bbcce57952e1c9e9b63d3612283faf5e910d5e5e045356c4da02;2019-03-19;2019;3;19;1
15eaaf67f5adbfb8402f9f4b309182cd3ab2b494bdb9648274face3ad2a3da83;2019-03-04;2019;3;4;1
aaf43bc3b75896b5a35ab190aaeb9aac60844643d563fa4b667bc30458d07250;2017-05-28;2017;5;28;2
d63255e483291f90c88d2891e3e4b1753e162bd7f3cbaa7f97d3baea7efeb058;2017-12-17;2017;12;17;4
8b6d38dc171585782dc90c3616d758b0897257b964c964cf85c8f1ec57a2d0a4;2017-05-11;2017;5;11;2
5ea94eaf8b7f1bceecd66485cf5901d908eee5e77e41d7cd768f72a1b13f5e8c;2017-12-27;2017;12;27;4
8a1490e554796ece51eb268a9044665b7dee21dc5d1b653a65dd597561184f95;2018-10-31;2018;10;31;4
2e226c8f4d04c5490bde0ca792e12de53566c5eda0868b16bd725995e65207c5;2017-03-30;2017;3;30;1
895fd0a7d129e3e1fb7315620bdd7925089244b43bf5150fd2dd0665c8b4ef15;2018-04-22;2018;4;22;2
359aa4bb1d93b9fcf6c448bb5f274f068d248f7f06ab1a7f02ea82e0383391c7;2017-08-16;2017;8;16;3
c7b6f59e3df42755e8c917007c7dafc624c35025a324aced8722f09529a886c1;2018-11-04;2018;11;4;4
1bb0eb7fd8a72626a9d29fc406dc14a639bdb101509e7b445833eee78e0be0b8;2017-07-26;2017;7;26;3
9c25a55c606cc9ed13323fa2b84e60279bb55fb9ad43bad702b8cd21025becc9;2019-02-20;2019;2;20;1
6466734c63502ffb1fbc9a9e6140a59cdc36c2c11c45502324e506e56e268479;2018-08-27;2018;8;27;3
